,Release_Date,ID,Title,Budget,Revenue,Profit,Runtime,Rating,Genres,Sub-genres,MPAA,numTop1k
153,2016-05-27,246655,X-Men: Apocalypse,178000000,543934787,365934787,144,6.5,Action,Adventure,PG-13,7
154,2016-01-29,140300,Kung Fu Panda 3,145000000,521170825,376170825,95,6.7,Action,Adventure,PG,9
155,2016-12-09,313369,La La Land,30000000,445435700,415435700,129,7.9,Comedy,Drama,PG-13,3
156,2016-06-10,68735,Warcraft,160000000,433677183,273677183,123,6.3,Action,Adventure,PG-13,2
157,2016-07-29,324668,Jason Bourne,120000000,415484914,295484914,123,6.2,Action,Thriller,PG-13,5
158,2016-07-22,278154,Ice Age: Collision Course,105000000,408579038,303579038,100,5.9,Adventure,Animation,PG,5
159,2016-06-24,47933,Independence Day: Resurgence,165000000,389681935,224681935,120,5.1,Action,Adventure,PG-13,6
160,2017-12-15,181808,Star Wars: The Last Jedi,200000000,1332459537,1132459537,152,7.0,Fantasy,Adventure,PG-13,7
161,2017-03-17,321612,Beauty and the Beast,160000000,1263521126,1103521126,129,6.9,Family,Fantasy,PG,7
162,2017-04-14,337339,The Fate of the Furious,250000000,1238764765,988764765,136,6.9,Action,Crime,PG-13,7
163,2017-06-30,324852,Despicable Me 3,80000000,1031552585,951552585,96,6.3,Action,Animation,PG,5
164,2017-12-20,353486,Jumanji: Welcome to the Jungle,90000000,962119864,872119864,119,6.7,Action,Adventure,PG-13,3
165,2017-07-07,315635,Spider-Man: Homecoming,175000000,880166924,705166924,133,7.4,Action,Adventure,PG-13,5
166,2017-07-27,452557,Wolf Warrior 2,29700000,870322670,840622670,126,6.6,War,Action,0,0
167,2017-05-05,283995,Guardians of the Galaxy Vol. 2,200000000,863756051,663756051,137,7.7,Action,Adventure,PG-13,7
168,2017-11-03,284053,Thor: Ragnarok,180000000,853977126,673977126,131,7.5,Action,Adventure,PG-13,10
169,2017-06-02,297762,Wonder Woman,149000000,821847012,672847012,141,7.3,Action,Adventure,PG-13,5
170,2017-11-22,354912,Coco,175000000,800526015,625526015,105,8.2,Animation,Family,PG,3
171,2017-05-26,166426,Pirates of the Caribbean: Dead Men Tell No Tales,230000000,794191988,564191988,129,6.6,Adventure,Action,PG-13,4
172,2017-09-08,346364,It,35000000,700381748,665381748,135,7.2,Horror,Thriller,R,2
173,2017-11-17,141052,Justice League,500000000,657924295,157924295,120,6.2,Action,Adventure,PG-13,8
174,2017-03-03,263115,Logan,97000000,616801808,519801808,137,7.8,Action,Drama,R,4
175,2017-06-21,335988,Transformers: The Last Knight,217000000,605425157,388425157,149,6.0,Action,Science Fiction,PG-13,5
176,2017-03-10,293167,Kong: Skull Island,185000000,566652812,381652812,118,6.4,Action,Adventure,PG-13,5
177,2017-07-19,374720,Dunkirk,100000000,525573161,425573161,107,7.4,War,Action,PG-13,3
